"index","shortname","name","unicode","unicode_encoded","aliases","image"
"1",":grinning:","grinning face","1f600","😀","","!https://cdn.jsdelivr.net/emojione/assets/png/1f600.png?v=2.2.7!"
"2",":grin:","grinning face with smiling eyes","1f601","😁","","!https://cdn.jsdelivr.net/emojione/assets/png/1f601.png?v=2.2.7!"
"3",":joy:","face with tears of joy","1f602","😂","","!https://cdn.jsdelivr.net/emojione/assets/png/1f602.png?v=2.2.7!"
"4",":rofl:","rolling on the floor laughing","1f923","🤣",":rolling_on_the_floor_laughing:","!https://cdn.jsdelivr.net/emojione/assets/png/1f923.png?v=2.2.7!"
"5",":smiley:","smiling face with open mouth","1f603","😃","","!https://cdn.jsdelivr.net/emojione/assets/png/1f603.png?v=2.2.7!"
"6",":smile:","smiling face with open mouth and smiling eyes","1f604","😄","","!https://cdn.jsdelivr.net/emojione/assets/png/1f604.png?v=2.2.7!"
"7",":sweat_smile:","smiling face with open mouth and cold sweat","1f605","😅","","!https://cdn.jsdelivr.net/emojione/assets/png/1f605.png?v=2.2.7!"
"8",":laughing:","smiling face with open mouth and tightly-closed eyes","1f606","😆",":satisfied:","!https://cdn.jsdelivr.net/emojione/assets/png/1f606.png?v=2.2.7!"
"9",":wink:","winking face","1f609","😉","","!https://cdn.jsdelivr.net/emojione/assets/png/1f609.png?v=2.2.7!"
"10",":blush:","smiling face with smiling eyes","1f60a","😊","","!https://cdn.jsdelivr.net/emojione/assets/png/1f60a.png?v=2.2.7!"
"11",":yum:","face savouring delicious food","1f60b","😋","","!https://cdn.jsdelivr.net/emojione/assets/png/1f60b.png?v=2.2.7!"
"12",":sunglasses:","smiling face with sunglasses","1f60e","😎","","!https://cdn.jsdelivr.net/emojione/assets/png/1f60e.png?v=2.2.7!"
"13",":heart_eyes:","smiling face with heart-shaped eyes","1f60d","😍","","!https://cdn.jsdelivr.net/emojione/assets/png/1f60d.png?v=2.2.7!"
"14",":kissing_heart:","face throwing a kiss","1f618","😘","","!https://cdn.jsdelivr.net/emojione/assets/png/1f618.png?v=2.2.7!"
"15",":kissing:","kissing face","1f617","😗","","!https://cdn.jsdelivr.net/emojione/assets/png/1f617.png?v=2.2.7!"
"16",":kissing_smiling_eyes:","kissing face with smiling eyes","1f619","😙","","!https://cdn.jsdelivr.net/emojione/assets/png/1f619.png?v=2.2.7!"
"17",":kissing_closed_eyes:","kissing face with closed eyes","1f61a","😚","","!https://cdn.jsdelivr.net/emojione/assets/png/1f61a.png?v=2.2.7!"
"18",":relaxed:","white smiling face","263a","☺","","!https://cdn.jsdelivr.net/emojione/assets/png/263a.png?v=2.2.7!"
"19",":slight_smile:","slightly smiling face","1f642","🙂",":slightly_smiling_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f642.png?v=2.2.7!"
"20",":hugging:","hugging face","1f917","🤗",":hugging_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f917.png?v=2.2.7!"
"21",":thinking:","thinking face","1f914","🤔",":thinking_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f914.png?v=2.2.7!"
"22",":neutral_face:","neutral face","1f610","😐","","!https://cdn.jsdelivr.net/emojione/assets/png/1f610.png?v=2.2.7!"
"23",":expressionless:","expressionless face","1f611","😑","","!https://cdn.jsdelivr.net/emojione/assets/png/1f611.png?v=2.2.7!"
"24",":no_mouth:","face without mouth","1f636","😶","","!https://cdn.jsdelivr.net/emojione/assets/png/1f636.png?v=2.2.7!"
